file_names, EMPH,PRMD,SPAU,CONT,JJ,VBD,THATD,DEMO,PUBV,OSUB,PEAS,TSUB,SMP,THAC,CONC,COND,DEMP,THVC,CONJ,SUAV,PRIV,GER,WZPRES,WHCL,NN,WZPAST,PASTP,PIRE,ANDC,CAUS,TO,SERE,SYNE,RB,FPP1,AMP,PRESP,PIT,NEMD,TPP3,WHSUB,WHOBJ,STPR,BEMA,TIME,XX0,DWNT,POMD,PLACE,EX,PASS,INPR,SPIN,TOBJ,HDG,BYPA,PIN,PHC,VPRT,DPAR,WHQU,SPP2,NOMZ,PROD,PRED, TTR, AWL
academicW2A-013_MAT.txt, 7, 3, 5, 0, 230, 57, 1, 31, 8, 3, 9, 4, 1, 1, 0, 2, 6, 3, 12, 6, 9, 4, 4, 1, 550, 2, 1, 2, 31, 1, 27, 1, 3, 63, 39, 8, 3, 12, 0, 17, 0, 1, 1, 35, 7, 11, 5, 10, 4, 1, 19, 0, 0, 5, 0, 1, 252, 23, 90, 0, 0, 0, 77, 1, 21, 53.0, 5.49417475728
scripted-brdcasttS2B-027_MAT.txt, 5, 4, 3, 7, 173, 42, 3, 36, 16, 4, 16, 11, 0, 0, 1, 2, 15, 9, 6, 6, 18, 6, 5, 0, 478, 3, 3, 2, 7, 2, 40, 0, 1, 54, 45, 11, 2, 13, 9, 42, 6, 0, 17, 35, 18, 12, 3, 13, 11, 1, 17, 0, 0, 2, 0, 1, 237, 24, 83, 0, 1, 15, 82, 1, 16, 51.5, 5.09802955665
conversationS1A-040_MAT.txt, 51, 14, 9, 110, 104, 119, 18, 15, 15, 1, 6, 1, 1, 1, 2, 5, 20, 1, 0, 1, 56, 13, 6, 5, 384, 0, 2, 0, 49, 7, 20, 1, 2, 115, 94, 4, 0, 71, 5, 108, 1, 0, 6, 82, 8, 28, 0, 5, 16, 12, 10, 1, 0, 1, 6, 1, 112, 10, 170, 2, 2, 51, 11, 3, 26, 43.25, 3.68671328671
academicW2A-004_MAT.txt, 24, 8, 6, 0, 218, 129, 2, 6, 15, 2, 8, 0, 4, 0, 5, 6, 10, 7, 2, 1, 14, 8, 2, 0, 754, 1, 7, 2, 25, 1, 23, 5, 2, 70, 6, 1, 4, 21, 3, 39, 3, 1, 1, 30, 4, 16, 5, 16, 8, 5, 21, 1, 1, 1, 0, 3, 264, 59, 34, 1, 0, 0, 61, 0, 12, 56.75, 5.15826446281
fictionW2F-020_MAT.txt, 13, 11, 5, 30, 113, 165, 17, 16, 12, 5, 21, 5, 1, 0, 1, 11, 13, 4, 0, 8, 48, 9, 6, 3, 432, 0, 1, 2, 24, 10, 38, 2, 1, 87, 153, 8, 1, 15, 1, 66, 5, 0, 5, 47, 6, 25, 3, 19, 4, 8, 5, 2, 0, 1, 1, 4, 191, 8, 68, 8, 1, 33, 24, 2, 12, 55.75, 4.10631229236
academicW2A-030_MAT.txt, 5, 0, 6, 0, 145, 78, 3, 16, 7, 4, 2, 5, 2, 1, 3, 0, 10, 7, 15, 7, 22, 18, 10, 0, 674, 15, 3, 3, 9, 4, 16, 1, 2, 31, 6, 4, 4, 5, 4, 14, 0, 0, 0, 23, 1, 4, 5, 14, 2, 3, 41, 0, 1, 4, 0, 6, 257, 39, 51, 1, 0, 0, 73, 1, 13, 56.75, 5.02431906615
comments2014.18056398_MAT.txt, 71, 54, 29, 102, 572, 245, 33, 113, 46, 8, 44, 27, 7, 3, 9, 34, 42, 19, 11, 23, 167, 31, 30, 7, 1832, 9, 1, 8, 14, 17, 173, 2, 24, 329, 230, 27, 7, 157, 42, 135, 27, 6, 11, 168, 42, 96, 14, 45, 17, 16, 77, 10, 2, 16, 4, 9, 840, 86, 470, 4, 8, 58, 213, 20, 63, 52.0, 4.59228944247
conversationS1A-009_MAT.txt, 22, 23, 9, 107, 85, 82, 25, 25, 22, 2, 7, 3, 2, 2, 3, 11, 29, 9, 1, 5, 85, 7, 11, 4, 308, 0, 0, 0, 14, 6, 48, 0, 4, 115, 149, 6, 2, 53, 2, 40, 1, 0, 13, 49, 19, 49, 2, 22, 6, 3, 23, 3, 1, 2, 4, 1, 122, 5, 207, 18, 4, 92, 17, 7, 21, 45.25, 3.79514207149
speechS2A-021_MAT.txt, 19, 18, 2, 123, 108, 47, 24, 29, 17, 2, 1, 0, 0, 1, 0, 19, 26, 12, 1, 3, 96, 19, 15, 14, 346, 1, 1, 5, 38, 5, 58, 0, 3, 95, 76, 18, 0, 39, 4, 62, 4, 3, 15, 70, 13, 42, 1, 8, 3, 10, 3, 1, 1, 3, 13, 0, 135, 2, 301, 1, 7, 218, 17, 8, 14, 40.25, 3.80721903199
student-essaysW1A-007_MAT.txt, 11, 10, 6, 0, 140, 90, 3, 33, 10, 0, 9, 9, 4, 0, 0, 4, 7, 9, 5, 3, 39, 6, 7, 7, 548, 3, 0, 2, 16, 5, 23, 3, 3, 49, 3, 4, 0, 10, 2, 47, 2, 1, 0, 28, 6, 8, 7, 10, 0, 2, 20, 1, 0, 2, 0, 3, 259, 15, 63, 0, 0, 1, 72, 2, 14, 51.75, 4.84830633284
conversationS1A-002_MAT.txt, 30, 27, 12, 110, 47, 92, 33, 23, 28, 6, 7, 1, 0, 0, 0, 9, 16, 11, 2, 7, 83, 6, 3, 11, 364, 0, 1, 0, 22, 9, 36, 0, 2, 112, 144, 3, 0, 51, 0, 99, 5, 2, 17, 60, 6, 48, 1, 22, 4, 12, 11, 2, 0, 0, 11, 0, 147, 10, 192, 9, 1, 60, 15, 8, 21, 40.5, 3.64217252396
reportageW2C-014_MAT.txt, 4, 23, 5, 11, 120, 84, 10, 7, 34, 4, 12, 3, 1, 1, 1, 8, 2, 5, 3, 19, 20, 12, 3, 1, 656, 1, 2, 0, 6, 1, 40, 0, 11, 36, 22, 6, 0, 21, 6, 42, 3, 1, 0, 37, 6, 7, 5, 9, 4, 9, 19, 3, 1, 2, 0, 3, 197, 21, 82, 1, 1, 4, 58, 1, 14, 51.5, 4.95174129353
instructionalW2D-004_MAT.txt, 6, 6, 5, 0, 105, 12, 1, 23, 4, 1, 8, 3, 0, 0, 1, 7, 5, 3, 11, 6, 19, 12, 21, 0, 516, 12, 0, 0, 4, 0, 46, 2, 3, 44, 2, 2, 2, 15, 5, 26, 9, 4, 0, 18, 0, 15, 2, 10, 0, 0, 26, 0, 2, 3, 0, 2, 252, 25, 99, 0, 0, 12, 112, 0, 10, 45.75, 4.97437137331
demonstrationsS2A-055_MAT.txt, 19, 13, 8, 82, 97, 20, 13, 17, 11, 9, 1, 2, 0, 0, 0, 24, 16, 5, 1, 30, 30, 2, 16, 3, 365, 0, 1, 1, 22, 9, 49, 2, 1, 118, 38, 2, 2, 81, 2, 18, 1, 0, 16, 62, 5, 19, 7, 27, 10, 2, 14, 0, 0, 1, 4, 0, 185, 5, 226, 5, 3, 136, 68, 23, 16, 34.5, 3.84833702882
conversationS1A-051_MAT.txt, 42, 6, 3, 60, 84, 181, 21, 28, 10, 4, 3, 4, 0, 0, 2, 2, 19, 3, 0, 4, 58, 1, 8, 2, 417, 0, 2, 0, 49, 0, 26, 0, 2, 91, 151, 6, 4, 39, 1, 97, 2, 3, 10, 57, 8, 23, 1, 3, 3, 13, 6, 0, 0, 4, 4, 1, 133, 3, 111, 1, 3, 36, 7, 1, 8, 40.5, 3.61596958175
scripted-brdcasttS2B-021_MAT.txt, 22, 11, 4, 30, 150, 49, 6, 32, 10, 2, 16, 5, 0, 0, 0, 9, 18, 7, 3, 3, 26, 9, 4, 1, 536, 3, 3, 1, 17, 1, 30, 1, 2, 68, 36, 7, 2, 27, 5, 23, 5, 0, 10, 32, 14, 7, 0, 5, 0, 6, 16, 0, 0, 1, 0, 1, 235, 22, 125, 2, 0, 28, 64, 0, 10, 46.0, 4.83413231064
conversationS1A-013_MAT.txt, 39, 8, 2, 138, 98, 64, 13, 24, 11, 2, 5, 1, 1, 1, 1, 6, 24, 3, 0, 16, 56, 7, 8, 7, 410, 1, 2, 0, 11, 4, 39, 0, 1, 104, 134, 4, 1, 76, 7, 66, 0, 0, 14, 72, 13, 54, 2, 18, 10, 10, 1, 2, 1, 0, 3, 1, 123, 4, 246, 23, 4, 67, 4, 14, 27, 42.0, 3.56480686695
lessonS1B-017_MAT.txt, 38, 8, 3, 96, 95, 76, 20, 27, 9, 2, 2, 1, 9, 1, 4, 6, 52, 2, 0, 3, 56, 2, 2, 2, 484, 1, 1, 1, 26, 8, 25, 2, 5, 94, 71, 3, 1, 96, 2, 49, 3, 0, 19, 83, 5, 25, 2, 7, 8, 13, 14, 2, 0, 0, 13, 1, 141, 3, 203, 5, 5, 30, 29, 4, 14, 41.0, 3.84629460201
opinionsocc_2013_9980674_MAT.txt, 9, 10, 1, 11, 41, 7, 3, 7, 6, 5, 14, 3, 2, 0, 0, 4, 3, 5, 2, 9, 9, 5, 4, 0, 150, 1, 0, 2, 1, 2, 18, 0, 1, 21, 3, 0, 0, 20, 0, 19, 1, 1, 2, 14, 1, 7, 2, 4, 2, 1, 7, 0, 0, 2, 0, 0, 67, 4, 59, 0, 0, 1, 29, 1, 5, 55.75, 4.52949245542
letterssW1B-001_MAT.txt, 23, 25, 10, 39, 90, 92, 15, 17, 13, 2, 19, 0, 3, 1, 5, 10, 8, 2, 5, 4, 51, 12, 11, 7, 419, 1, 0, 0, 19, 7, 49, 5, 2, 69, 137, 2, 4, 44, 8, 41, 3, 0, 2, 43, 20, 23, 3, 17, 4, 2, 7, 0, 1, 3, 5, 0, 169, 15, 124, 7, 2, 42, 11, 5, 20, 54.0, 4.05402843602
conversationS1A-087_MAT.txt, 26, 31, 11, 108, 70, 104, 22, 23, 15, 6, 14, 2, 0, 0, 1, 6, 20, 5, 1, 2, 70, 7, 7, 5, 428, 0, 0, 0, 17, 3, 46, 0, 7, 108, 113, 2, 3, 44, 6, 124, 1, 0, 15, 53, 7, 40, 0, 9, 6, 6, 15, 2, 0, 0, 5, 0, 128, 10, 183, 15, 7, 62, 14, 12, 12, 45.75, 3.66534914361
